Model,Feature,SHAP_Importance
Linear Regression,month,1.169738792777753
Linear Regression,quarter,1.4216723061696352
Linear Regression,season_Spring,0.6665479396411562
Linear Regression,season_Summer,0.2653120781943338
Linear Regression,season_Winter,1.0332567432529796
Linear Regression,month_sin,3.396188454090141
Linear Regression,month_cos,2.848912182173669
Linear Regression,time_index,1.0491333847172044
Linear Regression,flu symptoms_lag1,0.7948650320101354
Linear Regression,flu symptoms_lag2,0.32152703571945984
Linear Regression,flu symptoms_lag3,0.7458682907244195
Linear Regression,flu symptoms_lag4,0.07071268665024255
Linear Regression,flu symptoms_lag5,0.14122479771209898
Linear Regression,flu symptoms_lag6,0.15042626079670932
Linear Regression,flu symptoms_lag7,0.2690188125117485
Linear Regression,flu symptoms_lag8,0.2047758762330274
Linear Regression,fever_lag1,0.23883318679484072
Linear Regression,fever_lag2,0.19105320113407312
Linear Regression,fever_lag3,0.3942851501067546
Linear Regression,fever_lag4,0.5157825334319804
Linear Regression,fever_lag5,0.3352589698077891
Linear Regression,fever_lag6,0.7956009641863311
Linear Regression,fever_lag7,1.0429322564919723
Linear Regression,fever_lag8,0.36039281751093244
Linear Regression,cough_lag1,0.9109722090250004
Linear Regression,cough_lag2,0.0962283580830489
Linear Regression,cough_lag3,0.27104713382642215
Linear Regression,cough_lag4,0.2560947477489649
Linear Regression,cough_lag5,0.10897344574683936
Linear Regression,cough_lag6,0.34813914114676997
Linear Regression,cough_lag7,0.39346351999410945
Linear Regression,cough_lag8,0.11318900742341034
Linear Regression,sore throat_lag1,0.05066198619608024
Linear Regression,sore throat_lag2,0.3025491939685177
Linear Regression,sore throat_lag3,0.45539344273137566
Linear Regression,sore throat_lag4,0.11513210627136387
Linear Regression,sore throat_lag5,0.21981222460861427
Linear Regression,sore throat_lag6,0.4055093063126102
Linear Regression,sore throat_lag7,0.693103526888941
Linear Regression,sore throat_lag8,0.055223464076297045
Linear Regression,influenza_lag1,0.82472061815375
Linear Regression,influenza_lag2,0.40181121177191603
Linear Regression,influenza_lag3,0.00012417407535439745
Linear Regression,influenza_lag4,0.15648101898962885
Linear Regression,influenza_lag5,0.12379167939483651
Linear Regression,influenza_lag6,0.1540975523715074
Linear Regression,influenza_lag7,0.6760967924972875
Linear Regression,influenza_lag8,0.45479520755030906
Linear Regression,ili_percent_lag1,0.38477593936384535
Linear Regression,ili_percent_lag2,0.1429269074660801
Linear Regression,ili_percent_lag3,0.017606349122880515
Linear Regression,flu symptoms_lag3_squared,0.21125112912080043
Linear Regression,influenza_lag3_squared,0.19054628055563025
Linear Regression,scaled_flu symptoms_lag1,0.7948650320101195
Linear Regression,scaled_flu symptoms_lag2,0.3215270357195318
Linear Regression,scaled_flu symptoms_lag3,0.74586829072439
Linear Regression,scaled_flu symptoms_lag4,0.07071268665027589
Linear Regression,scaled_flu symptoms_lag5,0.1412247977120234
Linear Regression,scaled_flu symptoms_lag6,0.15042626079677643
Linear Regression,scaled_flu symptoms_lag7,0.2690188125117194
Linear Regression,scaled_flu symptoms_lag8,0.20477587623309818
Linear Regression,scaled_fever_lag1,0.23883318679477913
Linear Regression,scaled_fever_lag2,0.1910532011340285
Linear Regression,scaled_fever_lag3,0.39428515010668647
Linear Regression,scaled_fever_lag4,0.5157825334319279
Linear Regression,scaled_fever_lag5,0.33525896980778314
Linear Regression,scaled_fever_lag6,0.7956009641862308
Linear Regression,scaled_fever_lag7,1.042932256491906
Linear Regression,scaled_fever_lag8,0.3603928175109699
Linear Regression,scaled_cough_lag1,0.9109722090250061
Linear Regression,scaled_cough_lag2,0.09622835808307553
Linear Regression,scaled_cough_lag3,0.2710471338264297
Linear Regression,scaled_cough_lag4,0.25609474774895297
Linear Regression,scaled_cough_lag5,0.1089734457468488
Linear Regression,scaled_cough_lag6,0.3481391411467729
Linear Regression,scaled_cough_lag7,0.39346351999410095
Linear Regression,scaled_cough_lag8,0.11318900742339802
Linear Regression,scaled_sore throat_lag1,0.05066198619602215
Linear Regression,scaled_sore throat_lag2,0.3025491939684969
Linear Regression,scaled_sore throat_lag3,0.45539344273134663
Linear Regression,scaled_sore throat_lag4,0.11513210627136625
Linear Regression,scaled_sore throat_lag5,0.2198122246085829
Linear Regression,scaled_sore throat_lag6,0.40550930631267584
Linear Regression,scaled_sore throat_lag7,0.6931035268888934
Linear Regression,scaled_sore throat_lag8,0.05522346407629904
Linear Regression,scaled_influenza_lag1,0.8247206181537287
Linear Regression,scaled_influenza_lag2,0.4018112117718907
Linear Regression,scaled_influenza_lag3,0.00012417407538493176
Linear Regression,scaled_influenza_lag4,0.15648101898956596
Linear Regression,scaled_influenza_lag5,0.12379167939480858
Linear Regression,scaled_influenza_lag6,0.15409755237148884
Linear Regression,scaled_influenza_lag7,0.6760967924973217
Linear Regression,scaled_influenza_lag8,0.45479520755029734
Linear Regression,scaled_ili_percent_lag1,0.3847759393639097
Linear Regression,scaled_ili_percent_lag2,0.14292690746603093
Linear Regression,scaled_ili_percent_lag3,0.01760634912288535
Linear Regression,scaled_flu symptoms_lag3_squared,0.21125112912079583
Linear Regression,scaled_influenza_lag3_squared,0.19054628055562015
Linear Regression,flu symptoms_X_month_sin,0.5816294658899132
Linear Regression,flu symptoms_X_month_cos,1.0022148927641819
Linear Regression,fever_X_month_sin,1.599862771572707
Linear Regression,fever_X_month_cos,5.937990661148941
Linear Regression,cough_X_month_sin,0.016904258251433844
Linear Regression,cough_X_month_cos,5.575221748647759
Linear Regression,sore throat_X_month_sin,0.9669670296825444
Linear Regression,sore throat_X_month_cos,1.0866833682342376
Linear Regression,influenza_X_month_sin,0.6649000385429384
Linear Regression,influenza_X_month_cos,1.6269727695160583
Linear Regression,scaled_flu symptoms_X_month_sin,0.5816294658899965
Linear Regression,scaled_flu symptoms_X_month_cos,1.0022148927641745
Linear Regression,scaled_fever_X_month_sin,1.5998627715728069
Linear Regression,scaled_fever_X_month_cos,5.937990661148919
Linear Regression,scaled_cough_X_month_sin,0.016904258251468244
